"id","rus","kaz"
"792","сучковат","бұтанақты"
"793","загнут","бүгулі"
"794","сегодняшн","бүгінгі"
"795","почечн","бүйректік"
"796","вместительн","бүйірлі"
"797","складн","бүктеме"
"798","загнут","бүктеулі"
"799","всесоюзн","бүкілодақтық"
"800","всенародн","бүкілхалықтық"
"801","горбат","бүкір"
"802","сутуловат","бүкірсымақ"
"803","сутул","бүкіш"
"804","маленьк","бүлдіршін"
"805","разбит","бүлдірілген"
"806","испорченн","бүлінген"
"807","накрыт","бүркелген"
"808","цел","бүтін"
"809","ин","былайғы"
"811","нерасторопн","былжыр"
"812","незатвердевш","былжырақ"
"813","колыхающ","былқылдақ"
"814","прошлогодн","былтырғы"
"815","хаотичн","былыққан"
"816","запутанн","былықпай"
"817","набухш","быртық"
"818","разобщенн","бытыранды"
"819","знающ","білгір"
"820","сильн","білекті"
"821","знающ","білікті"
"823","образованн","білімді"
"824","единодушн","бірауызды"
"825","односторонн","бірбеткей"
"826","однобок","бірбүйір"
"827","одинаков","бірдей"
"828","единственн","бірден-бір"
"829","уникальн","бірегей"
"830","частичн","бірен-сарандаған"
"831","односторонн","біржақты"
"832","одноразов","біржолғы"
"833","одинаков","біркелкі"
"834","равномерн","бірқалыпты"
"835","однотипн","бірқилы"
"836","единичн","бірлі-жарым"
"837","дружн","бірлікті"
"838","однообразн","бірсарынды"
"839","ровн","біртегіс"
"840","одинаков","біртекті"
"841","одонородн","біртектілі"
"842","неповторим","біртума"
"843","однообразн","бірізді"
"844","сплоченн","біріккен"
"845","разрозненн","бірікпеген"
"846","соединенн","біріктірілген"
"847","первичн","бірінші"
"848","непримирим","бітіспес"
"850","бюрократическ","бюрократтық"
"851","валентн","валентті"
"852","валютн","валюталық"
"853","варварск","варварлық"
"854","вариативн","варияциялық"
"855","вассальн","вассалдық"
"856","векторн","векторлық"
"857","вертикальн","вертикальды"
"858","винтов","винттік"
"859","виртуозн","виртуоздық"
"860","вокальн","вокалды"
"862","волюнтаристическ","волюнтаристік"
"863","газированн","газдалған"
"865","газетн","газеттік"
"866","галактическ","галактикалық"
"867","гангстерск","гангстерлік"
"868","бриллиантов","гауһарлы"
"869","гвардейск","гвардиялық"
"870","гегемонический","гегемондық"
"871","генеологическ","генеологиялық"
"872","генеральск","генералдық"
"873","географическ","географиялық"
"874","геологическ","геологиялық"
"875","геометрическ","геометриялық"
"876","геоцентрическ","геоцентрлік"
"877","герметическ","герметикалық"
"878","гимнастическ","гимнастикалық"
"879","госпитальн","госпитальдық"
"880","грамматическ","грамматикалық"
"881","загримированн","гримді"
"882","гуманитарн","гуманитарлық"
"883","цветущ","гүлдеген"
"884","цветоносн","гүлденгіш"
"885","цветаст","гүлді"
"886","цветущ","гүлжазира"
"887","бесцветков","гүлсіз"
"888","замечательн","ғажайып"
"889","изумительн","ғажап"
"890","уважаем","ғазиз"
"891","образцов","ғақлиялық"
"892","удивительн","ғаламат"
"893","бедн","ғаріп"
"894","вековечн","ғасырлық"
"895","влюбленн","ғашық"
"896","поучительн","ғибратты"
"897","научн","ғылыми"
"898","научно-исследовательск","ғылыми-зерттеу"
"899","научно-массов","ғылыми-көпшілік"
"900","научно-финансов","ғылыми-қаржылық"
"901","научно-производственн","ғылыми-өндірістік"
"902","научно-техническ","ғылыми-техникалық"
"904","тревожн","дабылды"
"905","беззвучн","дабылсыз"
"906","шумн","дабырлы"
"907","бесшумн","дабырасыз"
"908","шумлив","дабырашыл"
"911","безвыходн","дағдарысты"
"912","привычн","дағдылы"
"913","готов","дайын"
"914","подготовленн","дайындалған"
"915","штампов","дақпыртты"
"916","чист","дақсыз"
"917","бесшабашн","далақтай"
"918","уличн","далалы"
"919","степн","далалық"
"920","изодранн","далба-дұлба"
"921","развит","дамыған"
"922","мудр","дана"
"926","тщеславн","даңққұмар"
"927","бесславн","даңқсыз"
"928","известн","даңқты"
"929","индивидуальн","дара"
"930","разрозненн","дара-дара"
"932","привольн","дарқан"
"933","одаренн","дарынды"
"934","бездарн","дарынсыз"
"935","целительн","дауалы"
"936","неизлечим","дауасыз"
"937","сутяжническ","даукес"
"938","криклив","даурықпа"
"939","бесспорн","даусыз"
"941","ураганн","дауылды"
"942","безголос","дауыссыз"
"943","гласн","дауысты"
"944","подготавливающ","даярлайтын"
"945","смел","дәділ"
"946","обоснованн","дәйекті"
"947","адекватн","дәл"
"948","доказательн","дәлелді"
"949","бездоказательн","дәлелсіз"
"950","вкусов","дәм"
"951","вкусн","дәмді"
"952","безвкусн","дәмсіз"
"953","зернист","дәнді"
"954","связывающ","дәнекерлейтін"
"955","паяльн","дәнекерлі"
"956","бессемянн","дәнсіз"
"957","тетрадн","дәптерлік"
"958","сильн","дәрменді"
"959","беспомощн","дәрменсіз"
"960","вял","дәртсіз"
"961","бодр","дәртті"
"962","врачебн","дәрігерлік"
"963","лекарственн","дәрілік"
"964","рекламн","дәріптемелі"
"965","лекционн","дәрістік"
"966","традиционн","дәстүрлі"
"968","огромн","дәу"
"969","бедн","дәулетсіз"
"970","состоятельн","дәулетті"
"971","дебиторск","дебиторлық"
"972","терпелив","дегбірлі"
"973","нетерпелив","дегбірсіз"
"974","дедуктивн","дедуктивтік"
"975","декорационн","декорациялық"
"976","приземист","дембелше"
"977","опорн","демеу"
"978","демобилизованн","демобилизацияланған"
"979","демократическ","демократиялық"
"982","деморализованн","деморализацияланған"
"983","здоров","денелі"
"984","телесн","денелік"
"985","бестелесн","денесіз"
"986","депутатск","депутаттық"
"987","личн","дербес"
"988","отвлеченн","дерексіз"
"990","документальн","деректі"
"991","дефективн","дефективті"
"992","диалектическ","диалектикалық"
"993","диалектологическ","диалектологиялық"
"994","диалектн","диалектілік"
"995","диверсионн","диверсиялық"
"996","дидактическ","дидактикалық"
"997","крестьянск","диқандық"
"998","дискретн","дискреттік"
"999","груб","добал"
"1000","неуклюж","добалдай"
"1001","туп","доғал"
"1002","дозорн","дозоршы"
"1003","докторск","докторлық"
"1004","плюшев","доқаба"
"1005","озверел","долданған"
"1006","бешен","долы"
"1007","кругл","домалақ"
"1008","мешкообразн","дорбадай"
"1009","дружн","дос"
"1010","кругл","дөңгелек"
"1011","закругленн","дөңгелектенген"
"1012","бугрист","дөнді"
"1013","выпукл","дөңес"
"1015","груб","дөрекі"
"1016","загрубел","дөрекіленген"
"1017","грубоват","дөрекілеу"
"1018","драматическ","драмалық"
"1019","заколдованн","дуаланған"
"1020","лохмат","дудар"
"1021","взлохмаченн","дударланған"
"1022","праздн","думанды"
"1023","жадн","дүниеқорлық"
"1024","правильн","дұрыс"
"1025","улучш","дұрыстау"
"1026","враждебн","дұшпан"
"1027","сомнительн","дүдәмал"
"1028","полоумн","дүлей"
"1029","недозрел","дүмбілез"
"1030","знатн","дүмді"
"1031","припухл","дүмпіген"
"1032","жадн","дүниеқор"
"1033","корыстолюбив","дүниеқұмар"
"1034","всемирн","дүниелік"
"1035","залпов","дүркін"
"1036","взбудораженн","дүрліккен"
"1037","беззвучн","дыбыссыз"
"1038","звуков","дыбысты"
"1039","парен","дымдалған"
"1040","влажн","дымқыл"
"1042","разгульн","дырду"
"1043","красноречив","ділмар"
"1044","слаб","дімкәс"
"1045","верующ","діндар"
"1046","религиозн","діни"
"1048","дрожащ","дірілдеген"
"1049","ловк","ебдейлі"
"1050","неуклюж","ебдейсіз"
"1051","пожил","егде"
"1052","суверенн","егеменді"
"1053","посеянн","егілген"
"1054","давн","ежелгі"
"1055","забит","езілген"
"1056","угнетенн","езілуші"
"1057","бурн","екпінді"
"1058","безударн","екпінсіз"
"1059","двуличн","екіжүзді"
"1060","двухлетн","екіжылдық"
"1061","беременн","екіқабат"
"1062","двучленн","екімүшелік"
"1063","суетлив","елбелек"
"1064","бодр","елгезек"
"1065","заселенн","елді"
"1066","внимательн","елегіш"
"1067","пренебрежительн","елемеген"
"1069","заметн","елеулі"
"1070","буйн","елеуреген"
"1071","безлюдн","елсіз"
"1072","увлекающ","еліккіш"
"1073","подражающ","еліктеген"
"1074","заразительн","еліктеткіш"
"1075","подражательн","еліктеуіш"
"1076","манящ","еліктіргіш"
"1077","соблазнительн","еліктіретін"
"1078","легкомысленн","елірме"
"1079","лечебн","емдік"
"1080","дубов","еменді"
"1081","грудн","емізулі"
"1082","привольн","емін-еркін"
"1083","введенный","енгізілген"
"1084","будущ","ендігі"
"1085","широтн","ендік"
"1086","единоутробн","енелес"
"1087","бездеятельн","енжар"
"1088","запыхавш","ентіккен"
"1089","входящ","енуші"
"1090","трудолюбив","еңбеккер"
"1092","трудов","еңбекші"
"1094","трудолюбив","еңбекқұмар"
"1095","неуклюж","епсіз"
"1096","поворотлив","епті"
"1097","отважн","ер"
"1098","карликов","ергежейлі"
"1099","податлив","ергіш"
"1100","особенн","ерекше"
"1101","взросл","ересек"
"1102","возмужал","ересектенген"
"1103","забастовочн","ереуіл"
"1104","взросл","ержеткен"
"1105","бесстрашн","ержүрек"
"1106","растворим","еритін"
"1107","избалованн","ерке"
"1108","балованн","ерке-шора"
"1109","вольн","еркін"
"1110","возмутительн","ерсі"
"1111","безмужн","ерсіз"
"1112","ранн","ерте"
"1113","древн","ертедегі"
"1114","утренн","ертелік"
"1115","завтрашн","ертеңгі"
"1116","оседланн","ерттелген"
"1117","растворенн","еріген"
"1118","растворим","ерігіш"
"1119","вольн","ерікті"
"1121","губн","еріндік"
"1122","ленив","еріншек"
"1123","топлен","еріткен"
"1124","растворенн","ерітілген"
"1125","безумн","есалаң"
"1126","повзрослевш","есейген"
"1127","благополучн","есен"
"1128","расчетлив","есепқой"
"1129","безотчетн","есепсіз"
"1130","рассчитанн","есептелген"
"1131","счетн","есептік"
"1132","расчетлив","есепшіл"
"1133","предупредительн","ескертетін"
"1134","упомянут","ескертілген"
"1135","стар","ескі"
"1136","устаревш","ескірген"
"1137","бессознательн","ессіз"
"1138","благоразумн","есті"
"1139","безумн","есуас"
"1140","вит","есулі"
"1142","мясистый","етті"
"1143","безглагольн","етістіксіз"
"1144","никак","ешқандай"
"1145","дик","жабайы"
"1147","необорудованн","жабдықсыз"
"1148","обородуванн","жабдықты"
"1150","незакрыт","жабусыз"
"1151","закрыт","жабық"
"1152","исхудал","жабыққан"
"1154","закрывающ","жабылмалы"
"1155","уныл","жабыңқы"
"1156","подавленн","жабыраңқы"
"1157","тосклив","жабырқаған"
"1159","липк","жабысқақ"
"1160","приклеенн","жабыстырылған"
"1161","пляжн","жағажайлық"
"1162","запачканн","жағал"
"1163","берегов","жағалық"
"1164","благоприятн","жағдайлы"
"1165","неблагоприятн","жағдайсыз"
"1166","приятн","жағымды"
"1167","угодлив","жағымпаз"
"1168","неприятн","жағымсыз"
"1169","карательн","жазалайтын"
"1170","виновн","жазалы"
"1171","невиновн","жазасыз"
"1172","письменн","жазбаша"
"1173","летн","жазғы"
"1174","пострадавш","жазғырылған"
"1175","летн","жаздық"
"1176","тепл","жазира"
"1177","написанн","жазулы"
"1178","безвинн","жазықсыз"
"1179","плосковат","жазықтау"
"1180","виноват","жазықты"
"1181","написанн","жазылған"
"1182","цветущ","жайқалған"
"1183","удобн","жайлы"
"1184","сверкающ","жайнаған"
"1185","неудобн","жайсыз"
"1186","распространенн","жайылған"
"1187","улучшенн","жақсартылған"
"1188","хорош","жақсы"
"1189","безличн","жаксыз"
"1190","сторонн","жақтық"
"1191","близк","жақын"
"1192","ближайш","жақында"
"1193","близлежащ","жақындағы"
"1194","оклеветанн","жалалы"
"1196","гол","жалаңаш"
"1197","раздет","жалаңаштанған"
"1198","раздет","жалаңаштандырылған"
"1200","бессоюзн","жалғаулықсыз"
"1201","соединяющ","жалғаушы"
"1202","одинок","жалғыз"
"1204","наемн","жалдамалы"
"1205","ленив","жалқау"
"1206","единственн","жалқы"
"1207","плоск","жалпақ"
"1208","расплюснут","жалпиған"
"1209","общ","жалпы"
"1210","обобщающ","жалпылағыш"
"1211","общ","жалпылық"
"1212","запуганн","жалтақ"
"1213","нерешительн","жалтақтағыш"
"1214","увертлив","жалтарғыш"
"1215","блестящ","жалтыр"
"1216","блестящ","жалтырауық"
"1217","утомительн","жалықтыратын"
"1218","воспламенн","жалындаған"
"1219","зажигательн","жалынды"
"1220","умоляющ","жалынушы"
"1221","независим","жалынышсыз"
"1222","зависим","жалынышты"
"1223","залатанн","жамалған"
"1224","плох","жаман"
"1225","касательн","жанама"
"1226","огненн","жанарлы"
"1227","прикосновенн","жанасқан"
"1228","сочувствующ","жанашыр"
"1229","негорюч","жанбайтын"
"1230","возгораем","жанғыш"
"1231","жив","жанды"
"1232","скандальн","жанжалды"
"1233","отважн","жанқиярлық"
"1234","раздавленн","жаншылған"
"1235","нов","жаңа"
"1236","упомят","жаңағы"
"1237","обновленн","жаңартылған"
"1238","дождлив","жаңбырлы"
"1239","ошибочн","жаңсақ"
"1240","массов","жаппай"
"1241","смежн","жапсарлас"
"1242","обшивн","жапсырмалы"
"1243","лиственн","жапырақты"
"1244","раненн","жарақатты"
"1245","ранен","жаралы"
"1246","негодн","жарамсыз"
"1247","достойн","жарарлық"
"1248","неподходящ","жарастықсыз"
"1249","подходящ","жарастықты"
"1250","ладн","жарасымды"
"1251","неподходящ","жарасымсыз"
"1252","созданн","жаратылған"
"1253","значительн","жаратымды"
"1254","взрывн","жаратын"
"1255","природн","жаратынды"
"1256","взрывн","жарғыш"
"1257","блестящ","жарқылдағыш"
"1258","сверкающ","жарқылдақ"
"1259","светл","жарқын"
"1260","блестящ","жарқыраған"
"1261","бедн","жарлы"
"1262","приказн","жарлықты"
"1263","разрезн","жарма"
"1264","хватающ","жармасатын"
"1265","рекламн","жарнамалық"
"1266","взрывчат","жарылатын"
"1267","взрывн","жарылғыш"
"1268","благодетельн","жарылқайтын"
"1269","полоумн","жарым"
"1271","значительн","жарытымды"
"1272","пустяков","жарытымсыз"
"1273","юн","жас"
"1274","сделанн","жасалған"
"1275","созидающ","жасампаз"
"1276","искусственн","жасанды"
"1277","разукрашенн","жасандырылған"
"1278","приготовленн","жасаулы"
"1279","производящ","жасаушы"
"1280","стеснительн","жасқаншақ"
"1281","заплаканн","жастанған"
"1282","молод","жастық"
"1283","забит","жасыған"
"1284","безвольн","жасық"
"1285","зелен","жасыл"
"1286","скрыт","жасырылған"
"1287","тайн","жасырын"
"1288","заученн","жаттанды"
"1289","тренировочн","жаттығатын"
"1292","склонн","жатық"
"1293","нелюдим","жатырқағыш"
"1294","привязчив","жатырқамайтын"
"1295","ответственн","жауапкер"
"1298","безответственн","жауапсыз"
"1299","ответственн","жауапты"
"1300","отважн","жаужүрек"
"1301","плечист","жаурынды"
"1302","зловредн","жауыз"
"1303","дождлив","жауын-шашынды"
"1304","воинск","жауынгерлік"
"1305","плечист","жауырынды"
"1306","пеш","жаяу"
"1307","вспомогательн","жәрдемші"
"1308","запряженн","жегілген"
"1309","прожорлив","жегіш"
"1310","скор","жедел"
"1311","латунн","жезді"
"1312","съедобн","жейтін"
"1313","личн","жеке"
"1314","раздельн","жеке-жеке"
"1315","индивидуальн","жекеленген"
"1316","противн","жексұрын"
"1317","быстроног","желаяқ"
"1318","рысист","желгіш"
"1319","ветренн","желді"
"1320","парусн","желкенді"
"1321","ветрен","желпілдек"
"1322","безветренн","желсіз"
"1323","возбуждающ","желіктіруші"
"1324","липк","желімді"
"1325","жадн","жемқор"
"1326","зобаст","жемсаулы"
"1327","кормов","жемшөптік"
"1328","плодо-ягодн","жеміс-жидек"
"1329","бесплодн","жеміссіз"
"1330","продуктивн","жемісті"
"1331","победивш","жеңген"
"1332","легк","жеңіл"
"1333","смягчающ","жеңілдететін"
"1334","льготн","жеңілдікті"
"1335","непобедим","жеңілмейтін"
"1336","легкомысленн","жеңілтек"
"1337","непобедим","жеңімпаз"
"1338","победн","жеңістік"
"1339","подземн","жерастылық"
"1340","локальн","жергілікті"
"1341","брезглив","жеркеншек"
"1343","отвратительн","жеркенішті"
"1344","безземельн","жерсіз"
"1345","достаточн","жетерлік"
"1346","бестолков","жетесіз"
"1347","зрел","жеткен"
"1348","недостаточн","жеткіліксіз"
"1349","достаточн","жеткілікті"
"1350","недостающ","жетпейтін"
"1351","благоразумн","жетік"
"1352","успешн","жетістікті"
"1353","прибрежн","жиегіндегі"
"1354","подборочн","жинақтағыш"
"1355","собранн","жинақталған"
"1356","аккуратн","жинақты"
"1357","собранн","жинақы"
"1358","сборн","жиналмалы"
"1359","рыж","жирен"
"1360","отвратительн","жиренішті"
"1361","густой","жиі"
"1362","учащенны","жиілеген"
"1363","собранн","жиюлы"
"1364","несобранн","жиюсыз"
"1365","проектн","жобалы"
"1366","потерянн","жоғалған"
"1368","верхн","жоғарғы"
"1369","высш","жоғары"
"1370","сокрушительн","жойқын"
"1371","уничтоженн","жойылған"
"1372","успешн","жолды"
"1373","бездорожн","жолсыз"
"1374","щедр","жомарт"
"1375","расточн","жонғыш"
"1376","тесан","жонылған"
"1377","строгальн","жоңғыш"
"1378","стружков","жоңқалы"
"1379","планов","жоспарлы"
"1380","беспланов","жоспарсыз"
"1381","хребетн","жоталы"
"1382","уничтожающ","жоятын"
"1383","справн","жөндеген"
"1384","ремонтн","жөндейтін"
"1385","исправленн","жөнделген"
"1386","отремонтированн","жөндеулі"
"1387","ладн","жөнді"
"1388","неправильн","жөнсіз"
"1389","толст","жуан"
"1390","спокойн","жуас"
"1391","моющ","жуғыш"
"1392","полынн","жусанды"
"1393","выстиранн","жуулы"
"1394","моющи","жуушы"
"1395","питательн","жұғымды"
"1396","непитательн","жұғымсыз"
"1397","маленьк","жұдырықтай"
"1398","тонк","жұқа"
"1399","зараженн","жұққан"
"1401","заразн","жұқпалы"
"1402","зараженн","жұқтырған"
"1403","пятничн","жұмалық"
"1404","мягк","жұмсақ"
"1405","смягчающ","жұмсататын"
"1406","зажмуренн","жұмулы"
"1407","овальн","жұмыр"
"1408","яйценоск","жұмыртқалағыш"
"1409","безработн","жұмыссыз"
"1410","рабоч","жұмысшы"
"1411","четн","жұп"
"1412","ароматн","жұпардай"
"1413","прост","жұпыны"
"1414","голодн","жұтаң"
"1415","необузданн","жүгенсіз"
"1416","кукурузн","жүгерлі"
"1418","истощенн","жүдеу"
"1419","подл","жүзікаралық"
"1420","системн","жүйелі"
"1421","необоснованн","жүйесіз"
"1422","быстр","жүйрік"
"1424","нагруженн","жүктеулі"
"1425","беременн","жүкті"
"1426","призов","жүлделі"
"1427","шерстян","жүнді"
"1428","бессердечн","жүрексіз"
"1429","беспокойн","жыбырлақ"
"1430","плаксив","жылауық"
"1431","быстр","жылдам"
"1432","скоростн","жылдамдықты"
"1433","годов","жылдық"
"1434","передвижн","жылжымалы"
"1435","скользк","жылмақай"
"1436","юрк","жылмаң"
"1437","ловк","жылпос"
"1439","блестящ","жылтыр"
"1440","сверкающ","жылтырақ"
"1441","блестящ","жылтырауық"
"1442","тепл","жылы"
"1443","сумасшедш","жынданған"
"1444","сумасшедш","жынды"
"1445","полов","жыныс"
"1446","беспол","жыныссыз"
"1447","хищн","жыртқыш"
"1448","рван","жыртық"
"1449","шелков","жібек"
"1450","отправн","жіберілетін"
"1451","размягченн","жібіген"
"1452","упорн","жігерлі"
"1453","слабовольн","жігерсіз"
"1454","тонк","жіңішке"
"1455","утонченн","жіңішкертілген"
"1456","стройн","жіптіктей"
"1457","бдительн","жіті"
"1458","ядовит","занарлы"
"1459","искалеченн","зағыптандырылған"
"1460","поврежденн","зақымданған"
"1461","убыточн","залалды"
"1462","безвредн","залалсыз"
"1463","коварн","залым"
"1464","узаконенн","заңдастырылған"
"1465","законн","заңды"
"1466","беззаконн","заңсыз"
"1467","запасн","запастағы"
"1468","вредн","зарарлы"
"1470","безвредн","зарарсыз"
"1471","уныл","зарлы"
"1472","вещественн","заттай"
"1473","овеществленн","заттанған"
"1474","вещественн","заттық"
"1475","жесток","зәлім"
"1476","ядовит","зәрлі"
"1477","внимательн","зейінді"
"1478","невнимательн","зейінсіз"
"1479","высок","зеңгір"
"1480","благоразумн","зерделі"
"1481","бестолков","зердесіз"
"1482","сообразительн","зерек"
"1483","исследованн","зерттелген"
"1484","почтенн","зиялы"
"1485","вредн","зиянды"
"1486","безвредн","зиянсыз"
"1487","зоологическ","зоологиялық"
"1488","больш","зор"
"1489","гудящ","зуылдақ"
"1490","жесток","зұлым"
"1491","тяжел","зілді"
"1492","незлопамятн","зілсіз"
"1493","скромный","ибадат"
"1494","вежлив","ибалы"
"1495","нескромн","ибасыз"
"1496","осваивающ","игеруші"
"1497","неосвоенн","игерілмеген"
"1498","благородн","игі"
"1499","благородн","игілікті"
"1500","идеальн","идеалды"
"1501","идеалистическ","идеалистік"
"1502","идеологическ","идеологиялық"
"1503","идейн","идеялы"
"1504","безыдейн","идеясыз"
"1505","идиоматическ","идиомалық"
"1506","безхозяйственн","иесіз"
"1507","способн","икемді"
"1508","неловк","икемсіз"
"1509","неприспособленн","икемсізденген"
"1510","дублен","иленген"
"1511","согнут","имек"
"1512","робк","именшек"
"1513","империялистическ","империалистік"
"1514","импортн","импорттық"
"1515","невоспитанн","инабатсыз"
"1516","скромн","инабатты"
"1517","индексн","индекстік"
"1518","индуктивн","индукциялық"
"1519","инженерн","инженерлік"
"1520","инспектирующ","инспекциялаушы"
"1521","интегральн","интегралдық"
"1523","интеллектуальн","интеллектуалды"
"1524","интервальн","интервалды"
"1525","зигзагообразн","ирек"
"1526","извилист","иректі"
"1527","иррациональн","иррационалдық"
"1528","ирригационн","ирригациялық"
"1529","испанск","испан"
"1530","плечист","иықты"
"1531","изогнут","иілген"
"1532","сгибаем","иілгіш"
"1533","гибк","иілмелі"
"1534","пластичн","иілімді"
"1535","вонюч","иістенген"
"1536","пахнущ","иісті"
"1537","календарн","календарлық"
"1538","калорийн","калориялы"
"1539","канализационн","канализациялық"
"1540","кандидатск","кандидаттық"
"1541","капитальн","капиталдық"
"1542","капиталистическ","капиталистік"
"1543","кассовый","кассалық"
"1544","опасн","кәдік"
"1545","обычн","кәдімгі"
"1546","данн","кәзіргі"
"1547","совершеннолетн","кәмелеттік"
"1548","стар","кәрі"
"1549","профессиональн","кәсіби"
"1550","предпринимательск","кәсіпкерлік"
"1551","профессиональн","кәсіптік"
"1552","профессионально-техническ","кәсіптік-техникалық"
"1553","квалифицированн","квалификациялы"
"1554","неквалифицированн","квалификациясыз"
"1555","бедн","кедей"
"1556","безпрепятственн","кедергісіз"
"1558","неровн","кедір-бұдырлы"
"1559","капризн","кежір"
"1560","случайн","кездейсоқ"
"1561","текущ","кезектегі"
"1562","перемежающ","кезектесетін"
"1563","очередн","кезекті"
"1564","дежурн","кезекші"
"1565","бескровн","кезерген"
"1566","некий","кей"
"1567","некотор","кейбір"
"1569","обидчив","кейігіш"
"1570","последующ","кейінгі"
"1571","красив","кейіпті"
"1572","безобразн","кейіпсіз"
"1573","ехидн","кекеткіш"
"1574","беззлобн","кексіз"
"1575","обидчив","кектенгіш"
"1576","злобн","кекті"
"1577","злопамятн","кекшіл"
"1578","некрасив","келбетсіз"
"1579","благообразн","келбетті"
"1580","приезж","келген"
"1581","предстоящ","келесі"
"1582","будущ","келешек"
"1583","коротк","келте"
"1585","согласованн","келіскен"
"1586","несоответствующ","келіссіз"
"1587","подходящ","келісті"
"1588","согласованн","келісілген"
"1589","несогласованн","келісілмеген"
"1590","зрелый","кемелденген"
"1591","судов","кемелік"
"1592","уменьшающ","кемитін"
"1593","униженн","кемсінген"
"1594","унизительн","кемсітетін"
"1595","убог","кемтар"
"1596","безошибочн","кемшіліксіз"
"1597","уменьшенн","кеміген"
"1598","презрительн","кеміткен"
"1599","убавленн","кемітілген"
"1600","сытн","кенеулі"
"1601","младш","кенже"
"1602","просторн","кең"
"1603","канцелярск","кеңсе"
"1604","высохш","кепкен"
"1605","сушен","кептірген"
"1606","сушильн","кептіретін"
"1607","высушенн","кептірілген"
"1608","гарантийн","кепілдемелік"
"1609","противоположн","кереғар"
"1610","ненужн","керексіз"
"1611","необходим","керекті"
"1612","глух","керең"
"1613","обратн","кері"
"1614","растянут","керілген"
"1615","больн","кеселді"
"1616","режущ","кесетін"
"1617","красив","кескінді"
"1618","некрасив","кескінсіз"
"1619","режущ","кескіш"
"1620","расшит","кестеленген"
"1621","вышит","кестелі"
"1622","срезанн","кесілген"
"1623","решительн","кесімді"
"1624","вредн","кесірлі"
"1625","ушедш","кеткен"
"1626","беззуб","кетік"
"1627","грудаст","кеуделі"
"1628","вчерашн","кешегі"
"1629","комплексный","кешенді"
"1630","вечерн","кешкі"
"1631","опоздавш","кешіккен"
"1632","задержанн","кешіктірілген"
"1633","тяжк","кешірілмейтін"
"1634","преподобн","киелі"
"1635","войлочн","киіз"
"1636","классическ","классикалық"
"1637","бесклассов","классыз"
"1638","коллективн","коллективтік"
"1639","колоратурн","колоратуралық"
"1640","межколхозн","колхозаралық"
"1641","командный","командалық"
"1642","комбинаторн","комбинаторлық"
"1643","комбинированн","комбинацияланған"
"1645","комиссионн","комиссиялық"
"1646","коммерческ","коммерциялық"
"1647","коммунальн","коммуналдық"
"1648","коммунистическ","коммунистік"
"1649","комплексн","комплексті"
"1650","консервативн","консерваторлық"
"1651","конструктивн","конструктивті"
"1652","континентальн","континенттік"
"1653","концертн","концерттік"
"1654","кооперативн","кооперативтік"
"1655","космическ","космостық"
"1656","возрастающ","көбеюші"
"1657","пенист","көбіктенген"
"1659","заплесневел","көгерген"
"1660","голуб","көгілдір"
"1661","прицельн","көзделетін"
"1663","безглаз","көзсіз"
"1664","знаком","көзтаныс"
"1665","очкаст","көзілдірікті"
"1666","син","көк"
"1667","важн","көкейтесті"
"1668","заветн","көкейіндегі"
"1669","бесстрашн","көкжал"
"1670","весенн","көктемгі"
"1672","голубоват","көкшіл"
"1673","горд","көкірек"
"1675","объемн","көлемді"
"1676","тенев","көлеңке"
"1678","тенист","көлеңкелі"
"1679","помогающ","көмектесуші"
"1680","неясн","көмескі"
"1681","углеродн","көміртекті"
"1682","непокорн","көнбейтін"
"1683","терпелив","көнбіс"
"1684","податлив","көнгіш"
"1685","стар","көне"
"1686","архаическ","көнелік"
"1687","застарел","көнерген"
"1688","примирительн","көнерлік"
"1689","стареньк","көнетоз"
"1690","терпелив","көнімпаз"
"1691","повеселевш","көңілденген"
"1692","веселящ","көңілдендіретін"
"1693","весел","көңілді"
"1694","невесел","көңілсіз"
"1696","взбит","көпсітілген"
"1697","пенист","көпіргіш"
"1698","пенящий","көпіретін"
"1699","пенист","көпіршіген"
"1700","благовоспитанн","көргенді"
"1701","невоспитанн","көргенсіз"
"1703","зорк","көреген"
"1704","зрительн","көретін"
"1705","прекрасн","көркем"
"1706","видн","көрнекті"
"1707","изобразительн","көрнекі"
"1708","показывающ","көрсетуші"
"1709","показательн","көрсетімдік"
"1710","соседн","көршілес"
"1711","уродлив","көріксіз"
"1712","красив","көрікті"
"1713","наблюдательн","көрімпаз"
"1714","замеченн","көрінген"
"1715","видим","көрінетін"
"1716","фрагментарн","көріністік"
"1717","истощенн","көтерем"
"1718","повышенн","көтерілген"
"1719","приподнят","көтеріліңкі"
"1720","возвыщенн","көтеріңкі"
"1721","уличн","көшедегі"
"1722","кочев","көшпелі"
"1723","перевезенн","көшірілген"
"1724","криминальн","криминалдық"
"1725","кристаллическ","кристалды"
"1726","подозрительн","күдікті"
"1727","скорбленн","күдіс"
"1728","осенн","күзгі"
"1730","стрижен","күзелген"
"1731","сторожев","күзеттік"
"1732","нервн","жүйке"
"1733","пригорел","күйген"
"1734","возгораем","күйгіш"
"1735","жгуч","күйдіргі"
"1736","зажигательн","күйдіргіш"
"1737","жгуч","күйдіретін"
"1738","невзрачн","күйкі"
"1739","упитанн","күйлі"
"1740","огнеупорн","күймейтін"
"1741","погибш","күйреген"
"1742","горестн","күйінішті"
"1743","фиолетов","күлгін"
